id,modified_comment,Cause Span,GPT-4,ChatGPT,Flan-Alpaca-XL,,best_matches,worst_matches,Emotion 2,ChatGPT,GPT-4,flan-alpaca
544653738,"Not exactly; it asserts that the exported symbol was in fact found to be exported by its module symbol, according to either the main program checker or the AutoImportProvider checker. This is basically redoing work during the completions _details_ request that was done during the previous completions _list_ request, so it should always be found, but of course there’s no guarantee of that in the types, hence the assertion. (It’s also the sort of assumption that could plausibly be violated by a bizarre sequence of edits triggering some race condition, or just wrong code, so we do see assertions like this come up in telemetry every once in a while.)",Not exactly; it asserts that the exported,This is basically redoing work during the completions _details_ request that was done during the previous completions _list_ request,This is basically redoing work during the completions _details_ request that was done during the previous completions _list_ request,"""Not exactly; it asserts that the exported symbol was in fact found to be exported by its module symbol, according to either the main program checker or the AutoImportProvider checker. This is basically redoing work during the completions _details_ request that was done during the previous completions _list_ request, so it should always be found, but of course there’s no guarantee of that in the types, hence the assertion.""",219,,1,Disapproval,Annoyance,Curiosity,Confused
613450356,"This name is a little confusing—it looks like it’s getting the constraint of a type argument, and then optionally drilling into a property of that constraint type, based on the syntax location of the cursor. I was confused about why we’d want to get a subtype of a type argument when its constraint is necessarily a supertype of it. Maybe `getConstraintOfTypeArgumentProperty` or something?",This name is a little confusing—it looks like it’s getting the constraint of a type argument,This name is a little confusing,"This name is a little confusing—it looks like it’s getting the constraint of a type argument, and then optionally drilling into a property of that constraint type, based on the syntax location of the cursor. I was confused about why we’d want to get a subtype of a type argument when its constraint is necessarily a supertype of it. Maybe `getConstraintOfTypeArgumentProperty` or something?","""This name is a little confusing—it looks like it’s getting the constraint of a type argument, and then optionally drilling into a property of that constraint type, based on the syntax location of the cursor. I was confused about why we’d want to get a subtype of a type argument when its constraint is necessarily a supertype of it.""",148,,1,Confusion,Confusion,Confusion,Confused
638232605,"I was thinking about this check more and I think this might actually become a source of flakes on CI. Also since this check would be invoked for each change and some URLs might become unreachable over time, we may end up with failing CI for main branches that would not be directly related to the changed code.
I think the check is still useful, but I'd propose making it a warning instead and log the findings to the output (avoid throwing an error). In this case we would have all the necessary info and tooling to do these cleanup once in a while, but avoid flakes and CI failures due to 3rd party websites availability.",.we may end up with failing CI,I think this might actually become a source of flakes on CI.,"I think this check is still useful, but I'd propose making it a warning instead and log the findings to the output (avoid throwing an error).","""I was thinking about this check more and I think this might actually become a source of flakes on CI.""",423,,1,Nervousness,Concern,Concern,Frustration
647642414,"I thought about this, but it didn't make sense to me that an entry would be both updated and deleted during the lifetime of the cache (which I think corresponds to a file change event). If that *is* possible, then I'll update the code to keep the two collections in sync.",didn't make sense to me,"If that *is* possible, then I'll update the code to keep the two collections in sync.","I thought about this, but it didn't make sense to me that an entry would be both updated and deleted during the lifetime of the cache (which I think corresponds to a file change event).","""I thought about this, but it didn't make sense to me that an entry would be both updated and deleted during the lifetime of the cache""",146,,1,Disapproval,Confusion,Curiosity,Curiosity
649409703,oh nice! I tried to find one but couldn't,oh nice! I tried to find one but couldn't,oh nice!,oh nice!,"""oh nice!""",236,,1,Affection,Satisfaction,Joy,Curiosity.
652170292,"I thought the problem was with `AssignmentDeclarationKind.ThisProperty`. Why is the new code in `None` instead? Is it because there's an existing PropertyDeclaration? The new code in `getSymbolForExpression` kind of looks like it's a fallback mode for when syntactic detection fails in the checker, which it shouldn't if it has succeeded in the binder. So maybe the fix needs to be to iron out some mismatch between the binder and checker.",.thought the problem was with,Why is the new code in `None` instead?,"span: ""Is it because there's an existing PropertyDeclaration?""","""I thought the problem was with AssignmentDeclarationKind.ThisProperty. Why is the new code in None instead? Is it because there's an existing PropertyDeclaration?""",424,,1,Nervousness,Confusion,Curiosity,Frustration
655792163,"Depending on the synchronously-executed part of an API that's documented to return a `Promise` seems dangerous, and even before this patch error handling is broken if you try to do so. But I can still implement the synchronous `then()` if you'd like.",.seems dangerous,Depending on the synchronously-executed part of an API that's documented to return a `Promise` seems dangerous,depending on the synchronously-executed part of an API that's documented to return a `Promise` seems dangerous,"Depending on the synchronously-executed part of an API that's documented to return a ""Promise"" seems dangerous, and even before this patch error handling is broken if you try to do so. But I can still implement the synchronous ""then()"" if you'd like.",425,,1,Nervousness,Anxiety,Concern,Frustration
657419914,Can we print a warning to nudge people to fix the lifecycles of their objects?,print a warning,Can we print a warning to nudge people to fix the lifecycles of their objects?,,"""Can we print a warning to nudge people to fix the lifecycles of their objects?""",54,,1,Nervousness,Suggestion: 0,Curiosity,Frustration
659305436,I think that this might not work if the array only has one element. Not sure if that can actually happen at runtime.,.might not work,Not sure if that can actually happen at runtime.,Not sure if that can actually happen at runtime.,"""I think that this might not work if the array only has one element. Not sure if that can actually happen at runtime.""",426,,1,Nervousness,Uncertainty,Curiosity,Confused
669849854,"That's a good point, developers would find completing pipe arguments helpful (e.g. the `date` pipe). For inputs with square brackets we can only complete with strings. For pipe arguments, we can complete with strings, number literals, true, false, null and undefined.
Do you think we need separate scopes for pipe arguments and inputs without square brackets? or can we results for filter inputs without square brackets to only include strings?",that's a good point,Do you think we need separate scopes for pipe arguments and inputs without square brackets? or can we results for filter inputs without square brackets to only include strings?,can we results for filter inputs without square brackets to only include strings?,"""That's a good point, developers would find completing pipe arguments helpful (e.g. the date pipe).""",306,,1,Affection,Curiosity,Curiosity,Curiosity
